workerid,map,praise,trial
82,images/gen_models/gen_models.002.png,6,2
82,images/gen_models/gen_models.023.png,6,23
82,images/gen_models/gen_models.035.png,97,35
82,images/gen_models/gen_models.013.png,58,13
82,images/gen_models/gen_models.052.png,56,52
82,images/gen_models/gen_models.027.png,49,27
82,images/gen_models/gen_models.051.png,4,51
82,images/gen_models/gen_models.033.png,81,33
82,images/gen_models/gen_models.007.png,48,7
82,images/gen_models/gen_models.036.png,72,36
82,images/gen_models/gen_models.015.png,4,15
82,images/gen_models/gen_models.047.png,5,47
82,images/gen_models/gen_models.012.png,5,12
82,images/gen_models/gen_models.016.png,27,16
82,images/gen_models/gen_models.034.png,77,34
82,images/gen_models/gen_models.019.png,14,19
82,images/gen_models/gen_models.046.png,4,46
82,images/gen_models/gen_models.045.png,58,45
82,images/gen_models/gen_models.049.png,5,49
82,images/gen_models/gen_models.031.png,48,31
82,images/gen_models/gen_models.044.png,9,44
82,images/gen_models/gen_models.025.png,74,25
82,images/gen_models/gen_models.005.png,4,5
82,images/gen_models/gen_models.043.png,54,43
82,images/gen_models/gen_models.001.png,55,1
82,images/gen_models/gen_models.003.png,69,3
102,images/gen_models/gen_models.012.png,49,12
102,images/gen_models/gen_models.035.png,89,35
102,images/gen_models/gen_models.051.png,48,51
102,images/gen_models/gen_models.009.png,48,9
102,images/gen_models/gen_models.042.png,37,42
102,images/gen_models/gen_models.005.png,50,5
102,images/gen_models/gen_models.040.png,41,40
102,images/gen_models/gen_models.011.png,90,11
102,images/gen_models/gen_models.053.png,44,53
102,images/gen_models/gen_models.047.png,47,47
102,images/gen_models/gen_models.030.png,69,30
102,images/gen_models/gen_models.052.png,69,52
102,images/gen_models/gen_models.008.png,56,8
102,images/gen_models/gen_models.041.png,54,41
102,images/gen_models/gen_models.046.png,39,46
102,images/gen_models/gen_models.032.png,48,32
102,images/gen_models/gen_models.020.png,58,20
102,images/gen_models/gen_models.044.png,45,44
102,images/gen_models/gen_models.039.png,57,39
102,images/gen_models/gen_models.031.png,56,31
102,images/gen_models/gen_models.024.png,50,24
102,images/gen_models/gen_models.028.png,57,28
102,images/gen_models/gen_models.049.png,31,49
102,images/gen_models/gen_models.027.png,65,27
102,images/gen_models/gen_models.014.png,43,14
102,images/gen_models/gen_models.026.png,42,26
102,images/gen_models/gen_models.007.png,57,7
