Trial,Judgment
t3_a2b2c3_(0 0 0)_0,0.0872222
t3_a2b2c3_(0 0 0)_0,0.21
t3_a2b2c3_(0 0 0)_0,0.886667
t3_a2b2c3_(0 0 0)_0,0.0
t3_a2b2c3_(0 0 0)_0,0.0933333
t3_a2b2c3_(0 0 0)_0,0.108889
t3_a2b2c3_(0 0 0)_0,0.1
t3_a2b2c3_(0 0 0)_0,0.593333
t3_a2b2c3_(0 0 0)_0,0.368778
t3_a2b2c3_(0 0 0)_0,0.62
t3_a2b2c3_(0 0 0)_0,0.0
t3_a2b2c3_(0 0 0)_0,0.0316667
t3_a2b2c3_(0 0 0)_0,0.42
t3_a2b2c3_(0 0 0)_1,0.115
t3_a2b2c3_(0 0 0)_1,0.533333
t3_a2b2c3_(0 0 0)_1,0.0
t3_a2b2c3_(0 0 0)_1,0.0
t3_a2b2c3_(0 0 0)_1,0.176667
t3_a2b2c3_(0 0 0)_1,0.0505556
t3_a2b2c3_(0 0 0)_1,0.206667
t3_a2b2c3_(0 0 0)_1,0.953333
t3_a2b2c3_(0 0 0)_1,0.0
t3_a2b2c3_(0 0 0)_1,0.0633333
t3_a2b2c3_(0 0 0)_1,0.108889
t3_a2b2c3_(0 0 0)_1,0.113333
t3_a2b2c3_(0 0 0)_1,0.606667
t3_a2b2c3_(0 0 0)_1,0.322111
t3_a2b2c3_(0 0 0)_1,0.566667
t3_a2b2c3_(0 0 0)_1,0.0
t3_a2b2c3_(0 0 0)_1,0.0216667
t3_a2b2c3_(0 0 0)_1,0.316667
t3_a2b2c3_(0 0 0)_2,0.898333
t3_a2b2c3_(0 0 0)_2,0.7
t3_a2b2c3_(0 0 0)_2,1.0
t3_a2b2c3_(0 0 0)_2,1.0
t3_a2b2c3_(0 0 0)_2,0.903333
t3_a2b2c3_(0 0 0)_2,0.900556
t3_a2b2c3_(0 0 0)_2,0.73
t3_a2b2c3_(0 0 0)_2,0.926667
t3_a2b2c3_(0 0 0)_2,1.0
t3_a2b2c3_(0 0 0)_2,0.986667
t3_a2b2c3_(0 0 0)_2,1.0
t3_a2b2c3_(0 0 0)_2,0.94
t3_a2b2c3_(0 0 0)_2,0.0666667
t3_a2b2c3_(0 0 0)_2,0.852111
t3_a2b2c3_(0 0 0)_2,0.966667
t3_a2b2c3_(0 0 0)_2,1.0
t3_a2b2c3_(0 0 0)_2,0.971667
t3_a2b2c3_(0 0 0)_2,0.763333
t3_a1b3c3_(0 0 0)_0,0.198333
t3_a1b3c3_(0 0 0)_0,0.0
t3_a1b3c3_(0 0 0)_0,0.0
t3_a1b3c3_(0 0 0)_0,0.0372222
t3_a1b3c3_(0 0 0)_0,0.906667
t3_a1b3c3_(0 0 0)_0,0.1
t3_a1b3c3_(0 0 0)_0,0.343333
t3_a1b3c3_(0 0 0)_0,0.0538889
t3_a1b3c3_(0 0 0)_0,0.263333
t3_a1b3c3_(0 0 0)_0,0.0866667
t3_a1b3c3_(0 0 0)_0,0.373333
t3_a1b3c3_(0 0 0)_0,0.365
t3_a1b3c3_(0 0 0)_0,0.375444
t3_a1b3c3_(0 0 0)_0,0.0
t3_a1b3c3_(0 0 0)_0,0.0283333
t3_a1b3c3_(0 0 0)_0,0.0
t3_a1b3c3_(0 0 0)_0,0.03
t3_a1b3c3_(0 0 0)_0,0.0405556
t3_a1b3c3_(0 0 0)_1,0.921667
t3_a1b3c3_(0 0 0)_1,1.0
t3_a1b3c3_(0 0 0)_1,1.0
t3_a1b3c3_(0 0 0)_1,0.900556
t3_a1b3c3_(0 0 0)_1,0.496667
t3_a1b3c3_(0 0 0)_1,0.916667
t3_a1b3c3_(0 0 0)_1,0.903333
t3_a1b3c3_(0 0 0)_1,0.973889
t3_a1b3c3_(0 0 0)_1,0.71
t3_a1b3c3_(0 0 0)_1,0.72
t3_a1b3c3_(0 0 0)_1,0.35
t3_a1b3c3_(0 0 0)_1,0.571667
t3_a1b3c3_(0 0 0)_1,0.818778
t3_a1b3c3_(0 0 0)_1,0.771279
t3_a1b3c3_(0 0 0)_1,0.821667
t3_a1b3c3_(0 0 0)_1,1.0
t3_a1b3c3_(0 0 0)_1,0.91
t3_a1b3c3_(0 0 0)_1,0.867222
t3_a1b3c3_(0 0 0)_2,0.781667
t3_a1b3c3_(0 0 0)_2,1.0
t3_a1b3c3_(0 0 0)_2,1.0
t3_a1b3c3_(0 0 0)_2,0.917222
t3_a1b3c3_(0 0 0)_2,0.876667
t3_a1b3c3_(0 0 0)_2,1.0
